[Wed Mar 25 20:37:09 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:10 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:11 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:12 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:13 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:14 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:15 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:16 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:17 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:18 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:19 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:20 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:21 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:37:22 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:38:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:39:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:01 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:06 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:06 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:07 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:08 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:09 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:10 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:11 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:12 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:13 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:14 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:15 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:16 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:17 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:18 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:19 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:20 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:21 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:22 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:23 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:24 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:25 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:26 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:27 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:28 2026] R1:20, R2:10, EMER:0 -> GREEN:1
[Wed Mar 25 20:40:29 2026] R1:20, R2:10, EMER:0 -> GREEN:1
